"setting","n","proposed_method","comparator","delta_m","delta_m_weighted","delta_abs_bias","wins","supports_claim"
"I",100,"SQ learning (L1 penalty)","Q learning",0.00995000000000001,0.00484979919481432,-0.00760017837784425,3,TRUE
"I",100,"SQ learning (L1 penalty)","Q shared",-0.00739999999999996,-0.00343046236511535,0.00617332416684924,0,FALSE
"I",100,"SQ learning (L2 penalty)","Q learning",0.00729999999999997,0.00364313908915681,-0.00723769232971633,3,TRUE
"I",100,"SQ learning (L2 penalty)","Q shared",-0.01005,-0.00463712247077286,0.00653581021497716,0,FALSE
"I",300,"SQ learning (L1 penalty)","Q learning",0.00700000000000001,0.00308290768180519,-0.00318598391575199,3,TRUE
"I",300,"SQ learning (L1 penalty)","Q shared",-0.0152,-0.00681472420071849,0.00309875670752449,0,FALSE
"I",300,"SQ learning (L2 penalty)","Q learning",0.00406666666666666,0.00179903999655973,-0.00335357619032967,3,TRUE
"I",300,"SQ learning (L2 penalty)","Q shared",-0.0181333333333333,-0.00809859188596396,0.00293116443294682,0,FALSE
"I",500,"SQ learning (L1 penalty)","Q learning",-0.00435000000000008,-0.00198196021128205,-0.00200136409922288,1,FALSE
"I",500,"SQ learning (L1 penalty)","Q shared",-0.01805,-0.00810080114739409,0.00251761392363047,0,FALSE
"I",500,"SQ learning (L2 penalty)","Q learning",-0.00219000000000003,-0.00100786069395631,-0.00199860480333282,1,FALSE
"I",500,"SQ learning (L2 penalty)","Q shared",-0.01589,-0.00712670163006834,0.00252037321952052,0,FALSE
"I",1000,"SQ learning (L1 penalty)","Q learning",-0.00366500000000003,-0.00163470809705979,-1.27037081047165e-05,1,FALSE
"I",1000,"SQ learning (L1 penalty)","Q shared",-0.013645,-0.0061113983907477,0.00126156040862915,0,FALSE
"I",1000,"SQ learning (L2 penalty)","Q learning",-0.00544500000000003,-0.00243785264937468,-0.000246082083516265,1,FALSE
"I",1000,"SQ learning (L2 penalty)","Q shared",-0.015425,-0.0069145429430626,0.0010281820332176,0,FALSE
"II",100,"SQ learning (L1 penalty)","Q learning",-0.12465,-0.0643963326972954,0.0129429491469386,0,FALSE
"II",100,"SQ learning (L1 penalty)","Q shared",-0.0457,0.0254740390479817,-0.307773354316418,2,TRUE
"II",100,"SQ learning (L2 penalty)","Q learning",-0.21135,-0.107344950866472,0.0144522298520462,0,FALSE
"II",100,"SQ learning (L2 penalty)","Q shared",-0.1324,-0.017474579121195,-0.30626407361131,1,FALSE
"II",300,"SQ learning (L1 penalty)","Q learning",-0.27465,-0.12744193329663,0.0316868306816221,0,FALSE
"II",300,"SQ learning (L1 penalty)","Q shared",-0.161666666666667,-0.022100950798465,-0.330966707146595,1,FALSE
"II",300,"SQ learning (L2 penalty)","Q learning",-0.418333333333333,-0.19631363171498,0.0402506532652092,0,FALSE
"II",300,"SQ learning (L2 penalty)","Q shared",-0.30535,-0.0909726492168142,-0.322402884563008,1,FALSE
"II",500,"SQ learning (L1 penalty)","Q learning",-0.43274,-0.200032065254362,0.0384456034508508,0,FALSE
"II",500,"SQ learning (L1 penalty)","Q shared",-0.29816,-0.094811411989849,-0.334097840494822,1,FALSE
"II",500,"SQ learning (L2 penalty)","Q learning",-0.53281,-0.245362655977441,0.0417912745673012,0,FALSE
"II",500,"SQ learning (L2 penalty)","Q shared",-0.39823,-0.140142002712928,-0.330752169378372,1,FALSE
"II",1000,"SQ learning (L1 penalty)","Q learning",-0.53341,-0.246290887613446,0.0486751439760323,0,FALSE
"II",1000,"SQ learning (L1 penalty)","Q shared",-0.370295,-0.133514656942304,-0.338413467125323,1,FALSE
"II",1000,"SQ learning (L2 penalty)","Q learning",-0.68937,-0.315675130452621,0.0566748102951235,0,FALSE
"II",1000,"SQ learning (L2 penalty)","Q shared",-0.526255,-0.202898899781479,-0.330413800806231,1,FALSE
"III",100,"SQ learning (L1 penalty)","Q learning",0.01095,0.00577376810836994,-0.0129186363982186,3,TRUE
"III",100,"SQ learning (L1 penalty)","Q shared",-0.00159999999999993,6.19827394164885e-05,0.0011844549640338,1,FALSE
"III",100,"SQ learning (L2 penalty)","Q learning",0.00954999999999995,0.00552277873099682,-0.0140015586987261,3,TRUE
"III",100,"SQ learning (L2 penalty)","Q shared",-0.003,-0.000189006637956624,0.000101532663526333,0,FALSE
"III",300,"SQ learning (L1 penalty)","Q learning",0.00258333333333327,0.00138864894972912,-0.000997337402828813,3,TRUE
"III",300,"SQ learning (L1 penalty)","Q shared",0.00511666666666666,0.00304004048529982,-0.00446565819210512,3,TRUE
"III",300,"SQ learning (L2 penalty)","Q learning",0.00539999999999996,0.0027579796595516,-0.00389697285841493,3,TRUE
"III",300,"SQ learning (L2 penalty)","Q shared",0.00793333333333335,0.0044093711951223,-0.00736529364769124,3,TRUE
"III",500,"SQ learning (L1 penalty)","Q learning",-2.99999999999745e-05,-4.48456882641279e-05,-0.000196487455642616,1,FALSE
"III",500,"SQ learning (L1 penalty)","Q shared",0.01002,0.00484612866179268,-0.00705605230359522,3,TRUE
"III",500,"SQ learning (L2 penalty)","Q learning",0.00226000000000004,0.00115165575044718,-0.00175855433362532,3,TRUE
"III",500,"SQ learning (L2 penalty)","Q shared",0.01231,0.00604263010050399,-0.00861811918157792,3,TRUE
"III",1000,"SQ learning (L1 penalty)","Q learning",-0.00089500000000009,-0.000452219643671592,0.000762708309495028,0,FALSE
"III",1000,"SQ learning (L1 penalty)","Q shared",0.0175149999999999,0.00858899181929984,-0.0144394353738666,3,TRUE
"III",1000,"SQ learning (L2 penalty)","Q learning",0.00132999999999994,0.000665736891641733,-0.000796480723687341,3,TRUE
"III",1000,"SQ learning (L2 penalty)","Q shared",0.01974,0.00970694835461317,-0.015998624407049,3,TRUE
